"Depto","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","provincia"
"1",243946,245308,246689,248069,249433,250770,252053,253271,254408,255457,256405,257235,257934,258497,258922,"259205","2"
"2",150714,150573,150428,150278,150130,149985,149848,149720,149607,149510,149430,149371,149337,149328,149345,"149389","2"
"3",191323,191536,191750,191963,192171,192375,192573,192763,192945,193115,193276,193425,193560,193682,193790,"193884","2"
"4",234933,235497,236071,236646,237214,237769,238303,238809,239279,239712,240100,240437,240716,240937,241096,"241193","2"
"5",185301,185544,185789,186034,186276,186512,186740,186956,187159,187348,187518,187670,187800,187907,187991,"188053","2"
"6",183046,183309,183576,183843,184105,184363,184611,184846,185067,185271,185456,185620,185760,185875,185964,"186028","2"
"7",236838,237389,237946,238505,239057,239597,240116,240607,241065,241484,241861,242188,242460,242674,242828,"242921","2"
"8",219638,220655,221693,222733,223764,224770,225737,226649,227495,228266,228953,229541,230018,230380,230623,"230745","2"
"9",168681,168964,169248,169533,169814,170087,170353,170605,170842,171062,171264,171444,171600,171733,171839,"171921","2"
"10",169372,169506,169640,169775,169908,170037,170163,170282,170394,170497,170592,170677,170750,170811,170859,"170896","2"
"11",189760,189795,189829,189861,189893,189925,189956,189986,190016,190046,190076,190105,190135,190165,190195,"190225","2"
"12",211320,211699,212082,212467,212846,213218,213576,213914,214229,214518,214777,215002,215189,215335,215442,"215505","2"
"13",234846,235011,235178,235342,235506,235666,235819,235967,236107,236238,236358,236468,236566,236650,236723,"236781","2"
"14",226489,226558,226626,226692,226758,226821,226884,226944,227003,227060,227115,227168,227219,227268,227315,"227360","2"
"15",182274,182295,182315,182335,182354,182372,182390,182409,182427,182445,182465,182485,182506,182528,182551,"182574","2"
"Almirante Brown",557025,561349,565509,569911,574263,578513,582541,586564,590418,594270,597969,601618,605271,608878,612438,"616000","6"
"Avellaneda",345752,346847,347924,348999,350080,351165,352246,353273,354314,355352,356392,357440,358512,359550,360583,"361532","6"
"Berazategui",326109,330277,334458,338647,342682,346658,350578,354447,358262,362021,365771,369294,372889,376431,379921,"383458","6"
"Esteban Echeverría",300785,308861,316567,323806,331031,337890,344795,351564,358342,364641,370900,377237,383538,389731,395856,"402021","6"
"Ezeiza",163287,169284,175333,181122,186842,192430,197895,203292,208615,213864,219031,224228,229276,234233,239220,"244167","6"
"Florencio Varela",426738,436751,446287,455672,464939,473950,482757,491652,500225,508671,517082,525270,533446,541606,549812,"557936","6"
"General San Martín",418017,418790,419531,420271,421009,421725,422440,423153,423877,424567,425265,425911,426556,427191,427783,"428283","6"
"Hurlingham",182604,183764,184914,186052,187174,188280,189371,190447,191508,192554,193583,194597,195596,196582,197553,"198509","6"
"Ituzaingó",169038,170292,171536,172766,173981,175177,176356,177521,178670,179801,180914,182011,182993,183959,184910,"185845","6"
"José C. Paz",267275,271557,275801,279999,284145,288228,292304,296279,300035,303896,307443,311187,314878,318364,321710,"324990","6"
"La Matanza",1777530,1830526,1883251,1935394,1986784,2037428,2087359,2136695,2185597,2233860,2281194,2327874,2374149,2419872,2464843,"2509547","6"
"Lanús",463555,463478,463401,463325,463251,463178,463106,463034,462964,462895,462827,462760,462693,462628,462564,"462501","6"
"Lomas de Zamora",621440,624289,627150,630029,632842,635593,638287,640916,643437,645880,648312,650678,652937,655122,657218,"659249","6"
"Malvinas Argentinas",324358,328087,331834,335491,339152,342798,346406,349867,353281,356643,359953,363263,366479,369648,372771,"375896","6"
"Merlo",531609,539009,546383,554007,561566,569165,576737,584267,591763,599119,606413,613509,620307,626975,633540,"639681","6"
"Moreno",454416,463151,472015,481041,489912,498713,507403,516093,524675,533292,541691,549930,558068,566103,574034,"581729","6"
"Morón",324279,323680,323076,322489,321920,321351,320781,320218,319674,319138,318632,318104,317584,317073,316559,"316073","6"
"Quilmes",586462,594412,602436,610259,618106,626006,633913,641742,649480,657123,664783,672199,679375,686466,693277,"699997","6"
"San Fernando",164452,165554,166646,167726,168793,169844,170880,171902,172911,173904,174883,175845,176795,177731,178654,"179563","6"
"San Isidro",295894,295428,294992,294597,294215,293848,293496,293157,292831,292520,292224,291963,291704,291448,291276,"291097","6"
"San Miguel",278019,280822,283603,286386,289135,291845,294370,296861,299319,301740,304122,306469,308784,311065,313312,"315526","6"
"Tigre",376515,386131,395623,404649,413442,422108,430660,438906,447040,455056,462998,470776,478432,485999,493467,"500615","6"
"Tres de Febrero",343338,343441,343537,343617,343701,343792,343877,343917,343961,344011,344067,344117,344172,344221,344296,"344354","6"
"Vicente López",272389,271677,271078,270598,270139,269705,269294,268897,268509,268064,267655,267257,266880,266538,266203,"265885","6"
"Adolfo Alsina",17222,17249,17276,17303,17330,17356,17382,17407,17433,17458,17483,17507,17532,17556,17580,"17603","6"
"Adolfo Gonzales Chaves",12168,12142,12116,12091,12065,12040,12016,11992,11968,11944,11922,11899,11877,11855,11832,"11811","6"
"Alberti",10746,10773,10799,10824,10850,10875,10900,10924,10948,10972,10995,11018,11041,11064,11085,"11107","6"
"Arrecifes",29252,29473,29690,29905,30117,30326,30532,30735,30936,31133,31328,31520,31709,31895,32078,"32259","6"
"Ayacucho",20505,20588,20671,20752,20832,20911,20990,21067,21143,21218,21291,21364,21436,21506,21577,"21645","6"
"Azul",65836,66029,66221,66411,66598,66782,66965,67144,67321,67495,67667,67835,68002,68167,68329,"68487","6"
