"link";"id_provincia";"id_depto";"id_localidad";"provincia";"departamento";"localidad";"func_loc";"tiploc";"tip2loc";"personas";"hogares";"latitud";"longitud";"geom"
6875025;6;875;25;"BUENOS AIRES";"VILLARINO";"COUNTRY LOS MEDANOS";0;1;0;61;24;-38.8439;-62.7381;"0101000020E6100000000000007A5E4FC0000000E0046C43C0"
18028040;18;28;40;"CORRIENTES";"CONCEPCION";"TATACUA";0;1;0;731;161;-28.3731;-58.3206;"0101000020E61000000000006009294DC000000080835F3CC0"
26014025;26;14;25;"CHUBUT";"CUSHAMEN";"COSTA DEL CHUBUT";0;1;0;56;24;-42.6043;-70.4585;"0101000020E610000000000040589D51C000000080584D45C0"
42112005;42;112;5;"LA PAMPA";"PUELEN";"CASA DE PIEDRA";0;1;0;154;45;-38.1528;-67.1556;"0101000020E6100000000000A0F4C950C0000000408E1343C0"
58077070;58;77;70;"NEUQUEN";"MINAS";"VILLA DEL NAHUEVE";0;1;0;197;65;-37.0619;-70.7758;"0101000020E6100000000000C0A6B151C000000060EC8742C0"
74035055;74;35;55;"SAN LUIS";"GENERAL PEDERNERA";"NACION RANQUEL";0;1;0;57;20;-34.6278;-65.6761;"0101000020E610000000000060456B50C0000000005B5041C0"
50056075;50;56;75;"MENDOZA";"LAVALLE";"BARRIO VIRGEN DEL ROSARIO";0;1;0;211;52;-32.995;-68.9419;"0101000020E6100000000000C0483C51C0000000205C7F40C0"
58007015;58;7;15;"NEUQUEN";"ALUMINE";"MOQUEHUE";0;1;0;270;87;-38.9424;-71.329;"0101000020E6100000000000A00ED551C000000060A07843C0"
54084005;54;84;5;"MISIONES";"MONTECARLO";"BARRIO GUATAMBU";0;1;0;305;64;-25.6064;-54.57;"0101000020E6100000000000C0F5484BC0000000403C9B39C0"
6119015;6;119;15;"BUENOS AIRES";"BRANDSEN";"BARRIO EL MIRADOR";0;1;0;226;83;-35.315;-58.053;"0101000020E610000000000080C9064DC0000000A051A841C0"
6119045;6;119;45;"BUENOS AIRES";"BRANDSEN";"CAMPOS DE ROCA";0;1;0;234;72;-35.1106;-58.0897;"0101000020E6100000000000407A0B4DC000000040298E41C0"
6119055;6;119;55;"BUENOS AIRES";"BRANDSEN";"CLUB DE CAMPO LAS MALVINAS";0;1;0;4;2;-35.1863;-58.2393;"0101000020E610000000000000A11E4DC000000040D79741C0"
6119085;6;119;85;"BUENOS AIRES";"BRANDSEN";"POSADA DE LOS LAGOS";0;1;0;15;5;-35.1495;-58.0468;"0101000020E610000000000020FF054DC000000020249341C0"
6126035;6;126;35;"BUENOS AIRES";"CAMPANA";"CHACRAS DEL RIO LUJAN";0;1;0;1621;433;-34.2983;-58.9165;"0101000020E6100000000000604F754DC0000000602D2641C0"
6182025;6;182;25;"BUENOS AIRES";"CORONEL DE MARINA L. ROSALES";"PAGO CHICO";0;1;0;327;111;-38.7803;-62.1205;"0101000020E6100000000000A06C0F4FC000000080E16343C0"
6189075;6;189;75;"BUENOS AIRES";"CORONEL DORREGO";"PARAJE LA RUTA";0;1;0;10;8;-38.6532;-60.8625;"0101000020E6100000000000C0676E4EC0000000C09B5343C0"
6217003;6;217;3;"BUENOS AIRES";"CHASCOMUS";"BARRIO LOMAS ALTAS";0;1;0;61;25;-35.5746;-58.0684;"0101000020E610000000000020C1084DC0000000208DC941C0"
6217015;6;217;15;"BUENOS AIRES";"CHASCOMUS";"LAGUNA VITEL";0;1;0;41;11;-35.5393;-58.1352;"0101000020E6100000000000204E114DC0000000E006C541C0"
38014055;38;14;55;"JUJUY";"EL CARMEN";"LOTEO SAN VICENTE";0;1;0;211;51;-24.4297;-65.1815;"0101000020E6100000000000009D4B50C000000020036E38C0"
6413055;6;413;55;"BUENOS AIRES";"JUNIN";"PARAJE LA AGRARIA";0;1;0;40;14;-34.6573;-60.8472;"0101000020E6100000000000C0716C4EC0000000A0235441C0"
54098005;54;98;5;"MISIONES";"SAN IGNACIO";"BARRIO TUNGOIL";0;1;0;199;40;-27.1153;-55.3843;"0101000020E6100000000000C02FB14BC000000040821D3BC0"
6497025;6;497;25;"BUENOS AIRES";"LUJAN";"CLUB DE CAMPO LOS PUENTES";0;1;0;302;85;-34.5703;-59.0234;"0101000020E610000000000040FD824DC000000060FF4841C0"
34007005;34;7;5;"FORMOSA";"BERMEJO";"GUADALCAZAR";0;1;0;146;36;-23.6733;-61.1647;"0101000020E6100000000000A015954EC0000000805FAC37C0"
34063030;34;63;30;"FORMOSA";"RAMON LISTA";"EL QUEBRACHO";0;1;0;415;93;-23.3425;-61.8714;"0101000020E6100000000000A089EF4EC000000020AE5737C0"
38007035;38;7;35;"JUJUY";"COCHINOCA";"AGUA DE CASTILLA";0;1;0;96;26;-23.2333;-65.7833;"0101000020E6100000000000A0217250C000000080B93B37C0"
38007055;38;7;55;"JUJUY";"COCHINOCA";"LA REDONDA";0;1;0;45;9;-22.55;-65.5;"0101000020E610000000000000006050C0000000C0CC8C36C0"
38007063;38;7;63;"JUJUY";"COCHINOCA";"QUEBRALEÑA";0;1;0;53;22;-23.2833;-65.7667;"0101000020E6100000000000A0117150C000000060864837C0"
38007067;38;7;67;"JUJUY";"COCHINOCA";"QUERA";0;1;0;34;11;-23.0833;-65.7333;"0101000020E610000000000060EE6E50C000000020531537C0"
38007085;38;7;85;"JUJUY";"COCHINOCA";"SANTA ANA DE LA PUNA";0;1;0;41;8;-23.149;-66.0394;"0101000020E610000000000000868250C0000000C0212637C0"
38007095;38;7;95;"JUJUY";"COCHINOCA";"TAMBILLOS";0;1;0;122;21;-22.8914;-65.929;"0101000020E610000000000040747B50C00000006035E436C0"
62042245;62;42;245;"RIO NEGRO";"GENERAL ROCA";"BARRIO LUISILLO";0;1;0;52;15;-39.1003;-67.5858;"0101000020E6100000000000407EE550C0000000E0D58C43C0"
62042250;62;42;250;"RIO NEGRO";"GENERAL ROCA";"BARRIO MAR DEL PLATA";0;1;0;35;14;-39.0831;-67.6514;"0101000020E610000000000060B0E950C0000000A0A18A43C0"
62042260;62;42;260;"RIO NEGRO";"GENERAL ROCA";"BARRIO MARIA ELVIRA";0;1;0;162;43;-38.9906;-67.9603;"0101000020E61000000000004075FD50C000000080CA7E43C0"
62042265;62;42;265;"RIO NEGRO";"GENERAL ROCA";"BARRIO MOÑO AZUL";0;1;0;39;10;-39.2317;-67.495;"0101000020E610000000000020AEDF50C000000040A79D43C0"
62042270;62;42;270;"RIO NEGRO";"GENERAL ROCA";"BARRIO MOSCONI";0;1;0;564;169;-39.0911;-67.5889;"0101000020E610000000000060B0E550C000000080A98B43C0"
62042280;62;42;280;"RIO NEGRO";"GENERAL ROCA";"BARRIO NORTE";0;2;5;34;11;-38.8642;-68.0222;"0101000020E6100000000000206C0151C0000000009D6E43C0"
62042297;62;42;297;"RIO NEGRO";"GENERAL ROCA";"BARRIO PINAR";0;1;0;38;12;-38.1431;-68.4603;"0101000020E610000000000040751D51C0000000A04F1243C0"
62042310;62;42;310;"RIO NEGRO";"GENERAL ROCA";"BARRIO PORVENIR";0;1;0;39;11;-39.0433;-67.4633;"0101000020E610000000000040A7DD50C0000000008C8543C0"
62042330;62;42;330;"RIO NEGRO";"GENERAL ROCA";"BARRIO PUENTE 83";0;1;0;2512;712;-38.9569;-67.9453;"0101000020E6100000000000607FFC50C0000000207D7A43C0"
62042335;62;42;335;"RIO NEGRO";"GENERAL ROCA";"BARRIO SANTA LUCIA";0;1;0;163;44;-39.0583;-67.5069;"0101000020E6100000000000C071E050C000000080778743C0"
62042340;62;42;340;"RIO NEGRO";"GENERAL ROCA";"BARRIO SANTA RITA";0;1;0;258;66;-39.1264;-67.1025;"0101000020E6100000000000608FC650C0000000802D9043C0"
62042350;62;42;350;"RIO NEGRO";"GENERAL ROCA";"BARRIO UNION";0;1;0;106;26;-38.9797;-67.9411;"0101000020E6100000000000203BFC50C000000080677D43C0"
62042360;62;42;360;"RIO NEGRO";"GENERAL ROCA";"CATRIEL";0;1;0;17584;5276;-37.8819;-67.7936;"0101000020E610000000000080CAF250C000000080E3F042C0"
62042370;62;42;370;"RIO NEGRO";"GENERAL ROCA";"CERVANTES";0;1;0;3252;970;-39.0519;-67.3922;"0101000020E6100000000000201AD950C000000020A68643C0"
